time,deal,symbol,type,direction,volume,price,order,commission,swap,profit,balance,comment
2026.01.01 00:00:00,1,,balance,,,,,0,0,5000.0,5000.0,
2026.01.02 03:00:08,2,XAUUSD,buy,in,0.01,4355.35,2,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 04:00:04,3,XAUUSD,buy,in,0.01,4348.51,3,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 05:00:08,4,XAUUSD,buy,in,0.01,4363.07,4,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 07:00:06,5,XAUUSD,buy,in,0.01,4372.73,5,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 08:00:06,6,XAUUSD,buy,in,0.01,4381.05,6,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 09:00:17,7,XAUUSD,buy,in,0.01,4374.68,7,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 10:00:05,8,XAUUSD,buy,in,0.01,4384.17,8,0,0,0,5000.0,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 10:33:58,9,XAUUSD,sell,out,0.01,4387.2,9,0,0,38.69,5038.69,tp 4387.00
2026.01.02 10:46:29,10,XAUUSD,sell,out,0.01,4393.29,10,0,0,37.94,5076.63,tp 4393.06
2026.01.02 15:16:34,11,XAUUSD,sell,out,0.01,4402.02,11,0,0,38.95,5115.58,tp 4401.88
2026.01.02 16:00:08,12,XAUUSD,buy,in,0.01,4368.8,12,0,0,0,5115.58,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 17:00:05,13,XAUUSD,buy,in,0.01,4351.9,13,0,0,0,5115.58,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 17:04:59,14,XAUUSD,sell,out,0.01,4341.98,14,0,0,-42.19,5073.39,sl 4342.19
2026.01.02 17:06:21,15,XAUUSD,sell,out,0.01,4339.94,15,0,0,-41.11,5032.28,sl 4340.17
2026.01.02 17:13:03,16,XAUUSD,sell,out,0.01,4334.23,16,0,0,-40.45,4991.83,sl 4334.25
2026.01.02 17:23:21,17,XAUUSD,sell,out,0.01,4332.43,17,0,0,-40.3,4951.53,sl 4332.88
2026.01.02 18:00:05,18,XAUUSD,buy,in,0.01,4334.65,18,0,0,0,4951.53,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 18:03:48,19,XAUUSD,sell,out,0.01,4325.28,19,0,0,-43.52,4908.01,sl 4325.33
2026.01.02 19:00:05,20,XAUUSD,buy,in,0.01,4326.24,20,0,0,0,4908.01,SMC_FVG_Bullish_Sent:Neutral
2026.01.02 19:00:08,21,XAUUSD,sell,in,0.01,4325.77,21,0,0,0,4908.01,SMC_FVG_Bearish_Sent:Neutral
2026.01.02 20:00:07,22,XAUUSD,sell,in,0.01,4322.04,22,0,0,0,4908.01,SMC_FVG_Bearish_Sent:Neutral
2026.01.02 20:13:06,23,XAUUSD,sell,out,0.01,4312.53,23,0,0,-39.37,4868.64,sl 4312.60
2026.01.02 23:00:06,24,XAUUSD,sell,in,0.01,4331.51,24,0,0,0,4868.64,SMC_FVG_Bearish_Sent:Neutral
2026.01.05 01:05:26,25,XAUUSD,buy,out,0.01,4363.72,25,0,0,-41.68,4826.96,sl 4363.42
2026.01.05 01:12:07,26,XAUUSD,sell,out,0.01,4365.57,26,0,0,39.33,4866.29,tp 4365.55
2026.01.05 01:12:13,27,XAUUSD,buy,out,0.01,4367.09,27,0,0,-41.32,4824.97,sl 4366.96
2026.01.05 01:15:20,28,XAUUSD,buy,out,0.01,4371.91,28,0,0,-40.4,4784.57,sl 4371.88
2026.01.05 01:50:52,29,XAUUSD,sell,out,0.01,4374.46,29,0,0,39.81,4824.38,tp 4374.45
2026.01.05 02:00:01,30,XAUUSD,sell,in,0.01,4372.4,30,0,0,0,4824.38,SMC_FVG_Bearish_Sent:Neutral
2026.01.05 03:00:06,31,XAUUSD,buy,in,0.01,4398.61,31,0,0,0,4824.38,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 03:04:07,32,XAUUSD,buy,out,0.01,4412.95,32,0,0,-40.55,4783.83,sl 4412.90
2026.01.05 04:00:00,33,XAUUSD,buy,in,0.01,4402.24,33,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 05:00:02,34,XAUUSD,buy,in,0.01,4406.35,34,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 06:00:13,35,XAUUSD,buy,in,0.01,4400.22,35,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 07:00:07,36,XAUUSD,buy,in,0.01,4404.78,36,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 08:00:06,37,XAUUSD,buy,in,0.01,4412.33,37,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 09:00:04,38,XAUUSD,buy,in,0.01,4420.11,38,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 10:00:07,39,XAUUSD,buy,in,0.01,4422.14,39,0,0,0,4783.83,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 11:21:59,40,XAUUSD,sell,out,0.01,4434.08,40,0,0,35.47,4819.3,tp 4434.08
2026.01.05 12:38:54,41,XAUUSD,sell,out,0.01,4438.96,41,0,0,38.74,4858.04,tp 4438.94
2026.01.05 14:00:04,42,XAUUSD,buy,in,0.01,4420.47,42,0,0,0,4858.04,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 15:00:08,43,XAUUSD,buy,in,0.01,4409.9,43,0,0,0,4858.04,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 15:00:12,44,XAUUSD,sell,in,0.01,4410.4,44,0,0,0,4858.04,SMC_FVG_Bearish_Sent:Neutral
2026.01.05 16:00:01,45,XAUUSD,buy,in,0.01,4417.84,45,0,0,0,4858.04,SMC_FVG_Bullish_Sent:Neutral
2026.01.05 16:00:03,46,XAUUSD,sell,in,0.01,4418.9,46,0,0,0,4858.04,SMC_FVG_Bearish_Sent:Neutral
2026.01.05 16:55:01,47,XAUUSD,sell,out,0.01,4441.06,47,0,0,38.82,4896.86,tp 4441.00
2026.01.05 17:00:31,48,XAUUSD,sell,out,0.01,4443.36,48,0,0,38.58,4935.44,tp 4443.07
2026.01.05 17:01:17,49,XAUUSD,sell,out,0.01,4444.53,49,0,0,38.18,4973.62,tp 4444.46
