# Monte Carlo Risk Analyzer – Results Export
# Generated  : 2026.05.05 20:19:19
# Input file : trades.csv
# Simulations: 1000
# Trades     : 1477
# Init Equity: $5000.00
# Commission : disabled
#
Step,P5_Equity,P25_Equity,P50_Equity,P75_Equity,P95_Equity
0,5000.00,5000.00,5000.00,5000.00,5000.00
1,4956.68,4959.05,5037.82,5039.32,5041.33
2,4916.00,4995.80,4998.69,5077.23,5080.91
3,4878.06,4956.81,5035.43,5039.44,5120.13
4,4906.61,4989.50,4998.18,5076.41,5158.00
5,4872.56,4954.43,5034.24,5111.41,5194.54
6,4837.95,4965.53,5001.24,5077.90,5162.77
7,4864.89,4951.81,5032.85,5113.36,5197.70
8,4831.61,4974.02,5036.10,5083.50,5232.77
9,4834.06,4949.88,5031.82,5114.09,5222.57
10,4827.01,4966.32,5049.17,5146.65,5237.76
11,4798.14,4950.02,5030.80,5114.02,5273.01
12,4816.24,4960.16,5063.48,5148.26,5302.26
13,4786.89,4946.68,5033.81,5160.46,5275.80
14,4788.78,4950.16,5063.81,5150.07,5311.01
15,4783.47,4944.40,5039.90,5182.22,5305.76
16,4774.06,4942.69,5066.30,5154.70,5317.70
17,4780.75,4945.13,5070.90,5185.24,5344.39
18,4767.22,4968.19,5065.61,5206.12,5337.30
19,4779.06,4944.92,5090.84,5188.91,5348.66
20,4749.96,4967.91,5067.50,5215.07,5379.60
21,4772.77,4943.93,5096.91,5193.96,5365.81
22,4751.74,4936.58,5073.90,5219.95,5381.21
23,4772.04,4944.96,5098.51,5220.20,5399.96
24,4741.68,4968.50,5095.61,5223.61,5388.62
25,4753.72,4945.41,5098.53,5247.37,5416.51
26,4732.41,4963.17,5109.37,5226.36,5433.12
27,4733.33,4942.30,5102.11,5252.98,5422.73
28,4732.39,4965.84,5126.76,5249.87,5439.10
29,4724.77,4940.51,5110.31,5256.38,5428.45
30,4722.92,4959.83,5129.66,5269.15,5454.13
31,4707.85,4938.59,5111.65,5259.79,5479.21
